customer_id,country
337c166f,USA
d38a19bf,Singapore
d7f5f0b0,USA
395d4994,India
a83c145c,Germany
3fdcdae8,Canada
12772337,India
9f0194af,India
7a8559d8,Australia
8911f0d1,USA
9.89E+45,Singapore
3b857e65,UK
204fab33,Singapore
88159234,Canada
8c1f2f98,Singapore
a84d7206,India
4578c08e,Canada
ba3964fa,UK
78595586,Australia
195e0c14,India
7f6e9ab5,Germany
d33a1a62,Germany
427a8468,Singapore
97f18950,Australia
426308a5,Canada
57c601ea,Germany
a429364b,Germany
928bddf9,Singapore
0f32a6f6,Germany
d71af9e5,Australia
b0d1473b,Singapore
9b99bfb0,Australia
de4cdcdd,UK
5f57fbd4,UK
87f21131,Germany
f7d6dfab,Canada
ca363a04,Germany
68d24203,UK
0ae7336e,India
72343250,India
021adfb6,India
a9f47880,Canada
005258a0,Germany
5e088877,Germany
f2e7bcc0,Singapore
5a1d9851,Singapore
cc672bd7,Singapore
5c2f954d,UK
d5daed7a,Singapore
0b32dc6f,India
a151d3b5,Germany
e9fde811,Germany
932c893c,India
b98d8283,Singapore
4319ad38,Germany
0b204db3,Australia
eb65d1ca,India
2ce76c47,India
e186c635,UK
8e9eae19,UK
1100831a,Australia
64b48c94,Germany
88e9aac9,Australia
a87b658a,Germany
f92a5812,Australia
158e8085,USA
179ae4c5,UK
79aff6cb,India
4e082c18,Germany
3a475b95,India
57633cda,Germany
3f09b3c3,Singapore
12574fb0,India
6b92aea5,Germany
cf929cc7,UK
c73916c0,India
ddae0858,Singapore
616fca83,Australia
0ac5e876,USA
5d31e0f4,India
04cdb11d,Canada
e54b0416,Australia
0d9f9cc3,India
8c2e8d5f,UK
849f6eb8,Singapore
6964d7bb,Canada
f9941dc2,UK
aa8f723f,Singapore
0f78333d,Australia
94aa211f,Singapore
414b8fad,Canada
8f081976,Australia
41622516,Germany
0b3c2c9f,Singapore
b7f89b7e,Australia
458ce5f7,India
b9fabe54,Australia
2403105a,Australia
7a5f0316,India
e0424124,USA
b717743a,USA
82d284f0,USA
83732a37,India
d8e5dd07,USA
458c8213,India
b955c6ec,UK
1a4639c6,India
b3cb8c3c,Australia
3043e68e,UK
ffda329b,Canada
b2ab489e,UK
56c6e554,USA
03ec5d73,India
3f20311f,India
d5fb8686,Australia
a3df5dd4,Canada
8fa5b154,USA
f9b0b9bf,Germany
6b395741,Canada
367debf4,Australia
51dc4386,Canada
6b4ec06c,Australia
313b6efb,UK
c68d813a,Germany
3b327b6e,USA
bba6b57f,Singapore
98a9ccae,UK
021b5be9,Australia
2ea44e9d,Canada
ccab3064,USA
ab1add51,Australia
f979e9ea,USA
8f30f97d,Germany
b8e38e07,Australia
b1fe155c,USA
9daac50a,Canada
02f68644,Australia
ab51add8,Australia
173a7d55,Australia
c9939103,Canada
46b35e44,UK
1b4424dd,India
16b4c497,India
ebbfafc3,USA
f2c0a566,India
34dad111,UK
aa7bdfa3,Singapore
251c90d9,UK
598efd02,Germany
c5642517,Germany
5e8aed36,Canada
7be076d6,USA
41118f59,USA
2da125c1,UK
d6b94141,Singapore
823e9a88,India
7391f331,Singapore
6bdb1d9e,Germany
ab7273bc,India
839f23dc,Germany
42385946,USA
c7978493,Australia
b6df8c21,India
c112eed4,Australia
92e87211,Australia
a7a46866,Germany
a1adb0ae,India
f30003fb,Germany
73bfc396,UK
3e41585f,UK
599dbf81,India
7cb6d3eb,India
73a54189,India
13649191,Australia
fea0052e,USA
a0968a8d,Australia
cd1f4cd0,Canada
82f860f7,USA
51dacac1,Singapore
38a1e970,USA
d0d5e3b0,Germany
4ff8266f,Germany
faff6ffa,Canada
8c3265d7,UK
8a00dc54,Germany
3d0aec60,Australia
4f231045,Canada
72a44b20,Singapore
c34605d2,Singapore
f836adad,Germany
aec17f43,Germany
f1cbd9ed,Australia
7c8bf4b9,Singapore
a5cda6c8,Canada
c55dd505,India
f666dd75,Germany
c2eefc6e,UK
4b3752aa,UK
5984c518,Australia
ba0d460e,USA
e0f55269,Australia
7bdff67a,USA
10c31378,USA
e651377e,Canada
ba678df8,Canada
49a759a7,India
abb2fa33,India
a3b63775,Germany
1c816115,Canada
74ba5569,Australia
e0a14854,Singapore
171a2e71,Germany
c7cd48dd,India
b7380b04,Canada
d799d699,USA
d374b1f9,India
e8492835,India
3efbfc39,Singapore
b267883f,UK
978ce91d,Germany
4062921e,India
2fb9f48b,Singapore
aa744c61,Canada
121bdf3e,Canada
6894c5b0,UK
152a3010,Germany
cc1c878a,UK
02d317f1,India
4789f600,UK
f2e4ad50,USA
b721c64b,Singapore
30d3fca9,Canada
