order_item_id,order_id,product_id,Discount (%),final_price
1001,1,f414122f-e,15,31.05
1002,2,fde50f9c-5,20,186.23
1003,3,0d96fc90-3,25,237.76
1004,4,964fc44b-d,25,129.89
1005,5,d70e2fc6-e,20,195.84
1006,6,0816ee12-5,50,120.93
1007,7,d41e0b55-c,5,73.06
1008,8,83b7dc04-5,20,170.58
1009,9,87c9c896-1,5,360.82
1010,10,31308875-b,50,207.68
1011,11,b2b1af7b-7,10,65.78
1012,12,e221cf14-c,15,334.7
1013,13,8c9a5f54-b,10,258.92
1014,14,eeb0635d-a,50,13.13
1015,15,38aec303-2,25,228.83
1016,16,69d91fbc-3,5,108.02
1017,17,928b4b24-d,0,426.75
1018,18,12f03ff4-6,0,52.98
1019,19,729191af-4,0,223.89
1020,20,089c1cdd-0,0,166.75
1021,21,a38a732e-9,15,65.64
1022,22,4c021051-3,25,21.45
1023,23,e57d04f5-d,15,336.37
1024,24,b1d2560c-7,0,351.87
1025,25,4dc7c4a3-8,20,205.71
1026,26,ce353020-f,20,265.6
1027,27,7fd8663b-b,30,262.91
1028,28,b338a0b6-7,25,176.35
1029,29,df52cac6-d,50,176.47
1030,30,d384b62b-c,15,209.08
1031,31,7004654f-0,10,350.75
1032,32,5bfb14c4-f,30,61.65
1033,33,411c40d9-1,50,20.39
1034,34,d5b42863-c,25,78.82
1035,35,b896f670-9,50,112.26
1036,36,6b5e4a98-0,5,285.77
1037,37,7f05dd28-6,25,18.13
1038,38,3e56a630-e,15,81.1
1039,39,1dc3b1a0-4,10,441.69
1040,40,cc379a88-b,50,94.03
1041,41,1695a728-0,5,303.33
1042,42,c66354db-6,10,363.06
1043,43,273c5035-2,0,303.14
1044,44,74b72b2f-7,25,253.36
1045,45,5e059f5f-7,10,404.77
1046,46,dd5071f5-c,30,191.04
1047,47,db828c6d-0,15,367.96
1048,48,db26458e-0,10,279.77
1049,49,ee59d876-b,0,479.19
1050,50,919b53bb-2,10,315.55
1051,51,159dca37-7,50,77.31
1052,52,af65c4a5-5,50,217.8
1053,53,847e77d3-d,25,300.23
1054,54,e907e57c-b,25,11.86
1055,55,f8495894-2,15,29.96
1056,56,be68a8d8-7,0,414.76
1057,57,e964198d-7,30,234.13
1058,58,c834b41d-5,25,133.79
1059,59,c4ddee78-e,15,202.26
1060,60,59718054-8,15,389.4
1061,61,0a46a91c-d,5,272.18
1062,62,07ce9e62-a,10,9.7
1063,63,baff7ab2-1,30,239.86
1064,64,2449a91f-2,30,157.62
1065,65,273ceb78-0,25,304.09
1066,66,04dcad68-2,0,112.45
1067,67,6d1089e4-9,20,304.65
1068,68,32452d43-a,25,295.59
1069,69,df40cf3d-6,15,284.55
1070,70,42559644-1,10,113.09
1071,71,54c501ae-e,20,161.81
1072,72,893343d5-d,20,138.81
1073,73,ade73cc0-5,50,15.4
1074,74,663d067f-2,10,275.34
1075,75,bc84dcb8-5,5,268.38
1076,76,56c95db1-7,50,137.44
1077,77,4dd272cd-4,20,74.46
1078,78,c893a571-b,15,232.99
1079,79,60e53d02-0,0,362.61
1080,80,568f353e-6,25,364.97
1081,81,c2d4aa98-b,20,269.19
1082,82,ec8c9491-b,25,340.79
1083,83,dd1ca92d-a,50,107.72
1084,84,0fa064a8-d,15,28.07
1085,85,2ad0fe64-8,10,124.95
1086,86,9a0a1741-8,5,466.17
1087,87,b46f5c60-7,15,238.56
1088,88,214f0eed-f,30,229.18
1089,89,c70fab41-e,25,232.25
1090,90,fcbc5388-0,25,219.5
1091,91,2257fd97-e,15,34.74
1092,92,34a952b4-a,15,386.91
1093,93,5d9e94f3-1,10,281.07
1094,94,4ff5749c-e,10,173.95
1095,95,74aeba43-c,30,151.33
1096,96,2228c622-f,5,77.34
1097,97,e907f4d3-9,5,471.25
1098,98,a7298172-c,15,303.91
1099,99,4118f1cc-3,0,133.93
1100,100,3b0a706d-2,10,81.18
1101,101,cd9ba20a-7,50,215.72
1102,102,ec8c3655-e,5,40.83
1103,103,b3525981-b,0,182.04
1104,104,3d832b43-e,20,66.86
1105,105,c40efcc0-2,10,83.63
1106,106,268ce5a6-f,25,291.08
1107,107,9822591f-3,50,208.78
1108,108,707c9b5c-c,5,306.78
1109,109,cfe90194-b,5,244.35
1110,110,bf258db9-2,50,14.96
1111,111,137695d9-6,15,203.72
1112,112,f477647f-5,30,114.31
1113,113,5b91457c-3,30,94.93
1114,114,c0712648-3,50,30.92
1115,115,412992e4-9,25,372.27
1116,116,40ca8015-7,30,74.98
1117,117,bc26060a-5,25,288.6
1118,118,7f74df77-2,50,188.88
1119,119,aef8a1b7-f,0,285.18
1120,120,dbc17060-e,0,187.86
1121,121,87d16f8f-2,50,220.25
1122,122,4c54fc1d-0,0,124.56
1123,123,7f15c4cf-6,0,236.7
1124,124,a95d5384-7,30,278.01
1125,125,69ac51ab-8,15,211.61
1126,126,d516e842-3,50,61.85
1127,127,d706b082-4,30,43.72
1128,128,459a15e9-f,20,361.04
1129,129,4ccbd0eb-8,0,320.09
1130,130,7b348c44-0,30,36.21
1131,131,ced724ce-2,20,311.15
1132,132,4cebabca-e,20,68.78
1133,133,6b4b6852-a,10,414.8
1134,134,61a3694b-7,20,394.11
1135,135,4.84E+02,25,65.21
1136,136,b503bda4-8,15,354.15
1137,137,c6e0579d-9,50,77.88
1138,138,b93bd2ee-b,25,179.18
1139,139,cf9bf8ad-9,0,470.33
1140,140,7ae18ecd-b,20,49.98
1141,141,9f5d4e87-5,20,254.14
1142,142,0de24149-d,20,26.57
1143,143,b1cd2571-8,5,112.59
1144,144,6518b3f5-9,15,320.14
1145,145,2a0374d2-e,0,428.47
1146,146,119fec0d-2,20,370.33
1147,147,9e012e67-8,15,328.08
1148,148,4b06ab84-e,25,233.25
1149,149,68235070-2,25,201.37
1150,150,477dbdaa-9,10,166.91
1151,151,e83298b7-c,5,254.03
1152,152,968716f9-d,5,193.26
1153,153,5b7f1241-9,50,85.81
1154,154,69a949eb-b,0,326.01
1155,155,e2a4b6ca-c,0,147.71
1156,156,90518d68-1,0,390.2
1157,157,1ee7bc15-5,50,203.03
1158,158,7b5dd212-c,5,255
1159,159,eb1e3cad-b,10,189.32
1160,160,2838f818-c,20,228.38
1161,161,9d19438f-d,10,445.01
1162,162,c45f28ae-1,20,229.67
1163,163,0f772bf6-b,0,378.27
1164,164,42cf5d2e-e,20,18.83
1165,165,b2969904-5,10,345.22
1166,166,8d276b60-e,15,35.37
1167,167,d13b913f-9,50,130.78
1168,168,5c2c5955-3,5,238.75
1169,169,bc3bb60a-5,50,36.22
1170,170,27e9782e-5,10,378.9
1171,171,ab7ff487-1,30,295.41
1172,172,d5c83689-d,5,208.84
1173,173,b7af74f2-2,15,205.98
1174,174,4750a3de-4,15,284.14
1175,175,7b7268d8-6,50,74.11
1176,176,1f251a5e-3,50,137.56
1177,177,8e964181-6,20,169.48
1178,178,5a8e414b-b,50,248.7
1179,179,65a4da6f-6,5,350.3
1180,180,5a55a846-e,0,260.82
1181,181,7ce94426-b,15,335.2
1182,182,f391d9be-7,20,367.22
1183,183,cde121ac-d,10,340.19
1184,184,08562850-3,50,134.94
1185,185,4263e65c-c,50,229.4
1186,186,43630740-4,20,331.26
1187,187,c3297364-0,15,421.65
1188,188,4d7b33d6-4,30,207.1
1189,189,16ee2335-1,0,430.43
1190,190,be9ec030-d,25,127.28
1191,191,6eaed388-2,0,315.8
1192,192,31de3bd2-f,25,115.75
1193,193,88870a57-4,25,148
1194,194,df236be6-3,20,216.58
1195,195,0a074647-b,20,208.98
1196,196,88ef8a42-2,50,167.44
1197,197,a0e0a691-6,0,266.2
1198,198,8afa06d8-5,50,84.77
1199,199,cc75f240-f,0,332.57
1200,200,0cf80cb2-8,10,358.97
1201,201,6b4cb792-5,0,180.6
1202,202,eabbc369-2,25,325.19
1203,203,9883b500-1,10,18.67
1204,204,a8f16266-b,30,11.91
1205,205,da23cfa7-8,50,17.07
1206,206,6998026b-c,15,9.47
1207,207,bf309230-0,0,206.97
