product_id,category_id,price
f414122f-e,101,36.53
fde50f9c-5,102,232.79
0d96fc90-3,101,317.02
964fc44b-d,103,173.19
d70e2fc6-e,104,244.8
0816ee12-5,105,241.86
d41e0b55-c,103,76.91
83b7dc04-5,101,213.23
87c9c896-1,101,379.81
31308875-b,106,415.36
b2b1af7b-7,105,73.09
e221cf14-c,104,393.77
8c9a5f54-b,106,287.69
eeb0635d-a,101,26.26
38aec303-2,102,305.1
69d91fbc-3,106,113.71
928b4b24-d,103,426.75
12f03ff4-6,106,52.98
729191af-4,107,223.89
089c1cdd-0,102,166.75
a38a732e-9,106,77.22
4c021051-3,103,28.6
e57d04f5-d,105,395.73
b1d2560c-7,106,351.87
4dc7c4a3-8,103,257.14
ce353020-f,101,332
7fd8663b-b,103,375.59
b338a0b6-7,104,235.13
df52cac6-d,107,352.95
d384b62b-c,103,245.98
7004654f-0,103,389.72
5bfb14c4-f,106,88.07
411c40d9-1,104,40.78
d5b42863-c,103,105.1
b896f670-9,106,224.52
6b5e4a98-0,105,300.81
7f05dd28-6,103,24.17
3e56a630-e,102,95.41
1dc3b1a0-4,102,490.77
cc379a88-b,107,188.07
1695a728-0,106,319.29
c66354db-6,103,403.4
273c5035-2,107,303.14
74b72b2f-7,106,337.81
5e059f5f-7,102,449.74
dd5071f5-c,101,272.92
db828c6d-0,106,432.89
db26458e-0,106,310.86
ee59d876-b,104,479.19
919b53bb-2,106,350.61
159dca37-7,105,154.62
af65c4a5-5,103,435.6
847e77d3-d,103,400.31
e907e57c-b,107,15.81
f8495894-2,103,35.25
be68a8d8-7,107,414.76
e964198d-7,103,334.47
c834b41d-5,106,178.39
c4ddee78-e,105,237.95
59718054-8,107,458.12
0a46a91c-d,104,286.5
07ce9e62-a,101,10.78
baff7ab2-1,104,342.66
2449a91f-2,101,225.17
273ceb78-0,102,405.45
04dcad68-2,104,112.45
6d1089e4-9,105,380.81
32452d43-a,101,394.12
df40cf3d-6,101,334.77
42559644-1,102,125.65
54c501ae-e,103,202.26
893343d5-d,102,173.51
ade73cc0-5,103,30.8
663d067f-2,106,305.93
bc84dcb8-5,102,282.5
56c95db1-7,105,274.87
4dd272cd-4,107,93.08
c893a571-b,106,274.11
60e53d02-0,101,362.61
568f353e-6,107,486.62
c2d4aa98-b,106,336.49
ec8c9491-b,103,454.39
dd1ca92d-a,106,215.44
0fa064a8-d,102,33.02
2ad0fe64-8,103,138.83
9a0a1741-8,105,490.71
b46f5c60-7,103,280.66
214f0eed-f,105,327.4
c70fab41-e,105,309.67
fcbc5388-0,105,292.67
2257fd97-e,102,40.87
34a952b4-a,102,455.19
5d9e94f3-1,103,312.3
4ff5749c-e,101,193.28
74aeba43-c,107,216.18
2228c622-f,107,81.41
e907f4d3-9,104,496.05
a7298172-c,101,357.54
4118f1cc-3,107,133.93
3b0a706d-2,102,90.2
cd9ba20a-7,105,431.44
ec8c3655-e,106,42.98
b3525981-b,101,182.04
3d832b43-e,104,83.58
c40efcc0-2,102,92.92
268ce5a6-f,103,388.1
9822591f-3,104,417.57
707c9b5c-c,101,322.93
cfe90194-b,103,257.21
bf258db9-2,106,29.92
137695d9-6,106,239.67
f477647f-5,104,163.3
5b91457c-3,105,135.62
c0712648-3,103,61.84
412992e4-9,101,496.36
40ca8015-7,103,107.11
